Frame,FirstSendTime(ms),AckTime(ms)
0,1757586879480,2
1,1757586879480,6
2,1757586879481,6
3,1757586879481,7
4,1757586879482,6
5,1757586879482,7
6,1757586879482,8
7,1757586879486,4
8,1757586879487,3
9,1757586879487,4
10,1757586879488,3
11,1757586879489,5010
12,1757586879489,5011
13,1757586879490,10016
14,1757586879491,10016
15,1757586879491,10016
16,1757586879491,10017
17,1757586879492,10017
18,1757586884500,5010
19,1757586884501,5009
20,1757586889506,5008
21,1757586889507,5008
22,1757586889508,5008
23,1757586889509,5007
24,1757586889509,5008
25,1757586889510,5007
26,1757586889510,5008
27,1757586894515,4
28,1757586894515,4
29,1757586894516,3
30,1757586894517,3
31,1757586894517,3
32,1757586894518,3
33,1757586894519,5005
34,1757586894519,10011
35,1757586894519,10012
36,1757586894520,10012
37,1757586894520,10012
38,1757586894521,10012
39,1757586894521,10012
40,1757586899525,5009
41,1757586904531,3
42,1757586904532,2
43,1757586904532,2
44,1757586904533,2
45,1757586904533,2
46,1757586904534,1
47,1757586904534,2
48,1757586904534,2
49,1757586904535,2
50,1757586904535,2
51,1757586904535,3
52,1757586904535,5006
53,1757586904536,5006
54,1757586904536,5007
55,1757586904537,5007
56,1757586904537,5007
57,1757586904538,5006
58,1757586904538,5007
59,1757586909542,3
60,1757586909543,2
61,1757586909543,3
62,1757586909544,2
63,1757586909544,2
64,1757586909545,1
65,1757586909545,2
66,1757586909545,5006
67,1757586909545,5007
68,1757586909546,5007
69,1757586909546,5007
70,1757586909546,5007
71,1757586909546,5008
72,1757586909547,5007
73,1757586914552,2
74,1757586914553,3
75,1757586914553,3
76,1757586914554,2
77,1757586914554,3
78,1757586914554,3
79,1757586914554,4
80,1757586914555,3
81,1757586914556,3
82,1757586914557,5006
83,1757586914557,5007
84,1757586914557,5007
85,1757586914558,5007
86,1757586914558,5007
87,1757586914559,10010
88,1757586914559,10011
89,1757586919563,5008
90,1757586919564,5007
91,1757586919565,5007
92,1757586919566,5006
93,1757586919566,10009
94,1757586924570,5006
95,1757586924570,5007
96,1757586924571,5007
97,1757586924572,5006
98,1757586924572,5007
99,1757586924573,5006
100,1757586929576,3
101,1757586929577,3
102,1757586929578,2
103,1757586929578,2
104,1757586929579,1
105,1757586929579,2
106,1757586929579,2
107,1757586929580,5005
108,1757586929580,5006
109,1757586929580,5007
110,1757586929580,5008
111,1757586929581,5007
112,1757586929581,5008
113,1757586929581,10012
114,1757586934586,5007
115,1757586934587,5007
116,1757586934587,5008
117,1757586934588,5007
118,1757586934589,5007
119,1757586934589,5007
120,1757586939594,3
121,1757586939594,3
122,1757586939595,2
123,1757586939595,3
124,1757586939596,2
125,1757586939596,2
126,1757586939597,5005
127,1757586939597,5005
128,1757586939597,5006
129,1757586939597,5007
130,1757586939598,5006
131,1757586939598,15015
132,1757586939598,20020
133,1757586944602,15017
134,1757586944603,20020
135,1757586944603,20021
136,1757586944604,20021
137,1757586944604,20022
138,1757586954614,10012
139,1757586959619,5008
140,1757586959620,5007
141,1757586964624,3
142,1757586964625,3
143,1757586964626,2
144,1757586964626,2
145,1757586964627,1
146,1757586964627,2
147,1757586964627,2
148,1757586964628,1
149,1757586964628,1
