Frame,FirstSendTime(ms),AckTime(ms)
0,1757586486319,1
1,1757586486321,0
2,1757586486322,0
3,1757586486322,1
4,1757586486323,1
5,1757586486324,0
6,1757586486325,0
7,1757586486325,1
8,1757586486326,0
9,1757586486327,0
10,1757586486327,1
11,1757586486328,0
12,1757586486329,0
13,1757586486329,1
14,1757586486330,0
15,1757586486331,0
16,1757586486331,1
17,1757586486332,5003
18,1757586491335,1
19,1757586491336,1
20,1757586491337,0
21,1757586491338,0
22,1757586491339,0
23,1757586491339,1
24,1757586491340,0
25,1757586491341,1
26,1757586491342,1
27,1757586491344,0
28,1757586491344,5002
29,1757586496346,1
30,1757586496347,1
31,1757586496348,1
32,1757586496349,1
33,1757586496350,1
34,1757586496351,0
35,1757586496352,0
36,1757586496352,2
37,1757586496354,0
38,1757586496355,0
39,1757586496355,1
40,1757586496356,0
41,1757586496357,0
42,1757586496357,0
43,1757586496358,0
44,1757586496358,5004
45,1757586501362,1
46,1757586501363,1
47,1757586501364,1
48,1757586501365,1
49,1757586501366,1
50,1757586501367,0
51,1757586501368,0
52,1757586501368,1
53,1757586501369,0
54,1757586501370,0
55,1757586501371,0
56,1757586501371,1
57,1757586501372,0
58,1757586501373,0
59,1757586501374,0
60,1757586501375,0
61,1757586501375,1
62,1757586501376,0
63,1757586501377,0
64,1757586501377,1
65,1757586501378,0
66,1757586501379,0
67,1757586501379,0
68,1757586501380,0
69,1757586501380,1
70,1757586501381,0
71,1757586501381,1
72,1757586501382,0
73,1757586501382,1
74,1757586501383,0
75,1757586501383,1
76,1757586501384,0
77,1757586501385,0
78,1757586501385,1
79,1757586501386,0
80,1757586501387,5005
81,1757586506392,1
82,1757586506393,1
83,1757586506394,1
84,1757586506395,1
85,1757586506396,0
86,1757586506397,0
87,1757586506398,0
88,1757586506398,0
89,1757586506399,0
90,1757586506399,1
91,1757586506400,1
92,1757586506401,1
93,1757586506402,1
94,1757586506403,0
95,1757586506404,0
96,1757586506404,1
97,1757586506405,0
98,1757586506405,1
99,1757586506406,5012
100,1757586511418,0
101,1757586511419,0
102,1757586511420,0
103,1757586511420,1
104,1757586511421,0
105,1757586511422,0
106,1757586511423,0
107,1757586511423,0
108,1757586511424,0
109,1757586511424,1
110,1757586511425,0
111,1757586511425,0
112,1757586511426,0
113,1757586511426,0
114,1757586511427,0
115,1757586511427,1
116,1757586511428,1
117,1757586511429,0
118,1757586511430,0
119,1757586511430,0
120,1757586511431,0
121,1757586511431,0
122,1757586511432,0
123,1757586511433,1
124,1757586511434,1
125,1757586511436,0
126,1757586511437,0
127,1757586511438,0
128,1757586511439,0
129,1757586511440,0
130,1757586511440,1
131,1757586511441,0
132,1757586511442,0
133,1757586511443,0
134,1757586511444,0
135,1757586511444,1
136,1757586511445,0
137,1757586511446,0
138,1757586511447,0
139,1757586511448,0
140,1757586511448,1
141,1757586511450,0
142,1757586511451,0
143,1757586511452,0
144,1757586511453,0
145,1757586511454,0
146,1757586511454,1
147,1757586511455,1
148,1757586511456,1
149,1757586511457,0
