Frame,FirstSendTime(ms),AckTime(ms)
0,1757586559543,5005
1,1757586564549,0
2,1757586564550,0
3,1757586564551,0
4,1757586564552,0
5,1757586564553,0
6,1757586564554,0
7,1757586564554,1
8,1757586564555,0
9,1757586564556,0
10,1757586564556,1
11,1757586564557,0
12,1757586564558,0
13,1757586564558,5003
14,1757586569562,0
15,1757586569563,0
16,1757586569564,0
17,1757586569565,0
18,1757586569566,0
19,1757586569567,5001
20,1757586574569,0
21,1757586574570,0
22,1757586574571,0
23,1757586574572,0
24,1757586574573,0
25,1757586574573,1
26,1757586574574,1
27,1757586574576,0
28,1757586574577,0
29,1757586574578,0
30,1757586574579,0
31,1757586574580,0
32,1757586574580,1
33,1757586574581,0
34,1757586574582,0
35,1757586574582,1
36,1757586574583,0
37,1757586574583,1
38,1757586574584,0
39,1757586574584,5004
40,1757586579588,1
41,1757586579590,0
42,1757586579591,0
43,1757586579591,1
44,1757586579592,0
45,1757586579593,0
46,1757586579593,10004
47,1757586589597,1
48,1757586589598,1
49,1757586589599,1
50,1757586589601,0
51,1757586589602,0
52,1757586589603,0
53,1757586589604,0
54,1757586589604,0
55,1757586589605,0
56,1757586589605,0
57,1757586589606,0
58,1757586589606,0
59,1757586589607,0
60,1757586589607,0
61,1757586589607,1
62,1757586589608,0
63,1757586589608,0
64,1757586589609,0
65,1757586589609,0
66,1757586589610,0
67,1757586589610,0
68,1757586589611,0
69,1757586589611,0
70,1757586589611,1
71,1757586589612,0
72,1757586589612,1
73,1757586589613,0
74,1757586589614,0
75,1757586589615,0
76,1757586589615,1
77,1757586589617,0
78,1757586589618,0
79,1757586589618,1
80,1757586589619,0
81,1757586589619,0
82,1757586589620,0
83,1757586589620,1
84,1757586589621,0
85,1757586589622,0
86,1757586589622,0
87,1757586589623,0
88,1757586589623,1
89,1757586589624,0
90,1757586589625,0
91,1757586589625,0
92,1757586589626,0
93,1757586589626,0
94,1757586589626,1
95,1757586589627,0
96,1757586589628,0
97,1757586589628,0
98,1757586589628,1
99,1757586589629,0
100,1757586589629,0
101,1757586589630,0
102,1757586589631,0
103,1757586589631,1
104,1757586589633,0
105,1757586589633,0
106,1757586589633,0
107,1757586589634,0
108,1757586589634,0
109,1757586589635,0
110,1757586589635,5002
111,1757586594638,0
112,1757586594638,1
113,1757586594639,0
114,1757586594640,0
115,1757586594641,5003
116,1757586599644,5003
117,1757586604648,0
118,1757586604649,0
119,1757586604650,0
120,1757586604651,0
121,1757586604652,0
122,1757586604652,5003
123,1757586609655,1
124,1757586609656,1
125,1757586609657,1
126,1757586609658,1
127,1757586609659,1
128,1757586609660,1
129,1757586609661,0
130,1757586609661,1
131,1757586609662,0
132,1757586609662,1
133,1757586609663,5003
134,1757586614667,0
135,1757586614668,5000
136,1757586619669,0
137,1757586619670,0
138,1757586619670,1
139,1757586619671,0
140,1757586619672,5002
141,1757586624675,5002
142,1757586629677,5002
143,1757586634679,1
144,1757586634680,1
145,1757586634681,0
146,1757586634682,0
147,1757586634682,1
148,1757586634683,0
149,1757586634683,0
