Frame,FirstSendTime(ms),AckTime(ms)
0,1757586516133,2
1,1757586516134,5
2,1757586516134,6
3,1757586516134,7
4,1757586516134,8
5,1757586516134,9
6,1757586516135,8
7,1757586516139,5
8,1757586516140,5
9,1757586516141,4
10,1757586516142,4
11,1757586516142,4
12,1757586516143,3
13,1757586516144,2
14,1757586516145,1
15,1757586516145,2
16,1757586516145,3
17,1757586516146,2
18,1757586516147,2
19,1757586516147,3
20,1757586516147,3
21,1757586516147,4
22,1757586516148,3
23,1757586516148,4
24,1757586516149,3
25,1757586516149,4
26,1757586516150,3
27,1757586516151,3
28,1757586516151,3
29,1757586516152,3
30,1757586516152,4
31,1757586516153,4
32,1757586516153,4
33,1757586516154,4
34,1757586516154,4
35,1757586516155,4
36,1757586516156,4
37,1757586516157,3
38,1757586516158,3
39,1757586516158,4
40,1757586516159,3
41,1757586516159,3
42,1757586516159,4
43,1757586516160,3
44,1757586516161,2
45,1757586516161,3
46,1757586516162,2
47,1757586516162,3
48,1757586516163,2
49,1757586516163,3
50,1757586516163,3
51,1757586516164,3
52,1757586516164,3
53,1757586516165,3
54,1757586516165,3
55,1757586516166,3
56,1757586516166,3
57,1757586516167,3
58,1757586516167,3
59,1757586516168,3
60,1757586516168,3
61,1757586516169,3
62,1757586516169,4
63,1757586516170,3
64,1757586516170,4
65,1757586516170,4
66,1757586516171,3
67,1757586516171,4
68,1757586516172,4
69,1757586516173,3
70,1757586516174,3
71,1757586516174,3
72,1757586516174,4
73,1757586516175,3
74,1757586516176,2
75,1757586516176,2
76,1757586516177,2
77,1757586516177,3
78,1757586516177,3
79,1757586516178,2
80,1757586516178,3
81,1757586516178,3
82,1757586516179,3
83,1757586516179,3
84,1757586516180,3
85,1757586516181,2
86,1757586516181,3
87,1757586516181,3
88,1757586516182,3
89,1757586516182,3
90,1757586516183,3
91,1757586516183,3
92,1757586516184,3
93,1757586516184,3
94,1757586516185,3
95,1757586516185,3
96,1757586516186,4
97,1757586516186,4
98,1757586516187,4
99,1757586516187,4
100,1757586516188,4
101,1757586516188,4
102,1757586516188,5
103,1757586516190,3
104,1757586516191,2
105,1757586516191,3
106,1757586516192,2
107,1757586516192,3
108,1757586516192,3
109,1757586516193,2
110,1757586516193,3
111,1757586516194,2
112,1757586516194,3
113,1757586516195,2
114,1757586516195,3
115,1757586516196,2
116,1757586516196,2
117,1757586516196,2
118,1757586516197,2
119,1757586516197,3
120,1757586516198,2
121,1757586516198,3
122,1757586516199,2
123,1757586516199,3
124,1757586516199,3
125,1757586516200,3
126,1757586516200,3
127,1757586516201,2
128,1757586516201,3
129,1757586516202,3
130,1757586516202,3
131,1757586516203,3
132,1757586516203,3
133,1757586516204,2
134,1757586516204,3
135,1757586516204,3
136,1757586516205,2
137,1757586516206,2
138,1757586516206,2
139,1757586516207,2
140,1757586516207,2
141,1757586516207,3
142,1757586516208,2
143,1757586516208,2
144,1757586516208,3
145,1757586516209,2
146,1757586516209,2
147,1757586516210,1
148,1757586516210,1
149,1757586516210,1
