Frame,FirstSendTime(ms),AckTime(ms)
0,1757587368312,2
1,1757587368312,3
2,1757587368312,3
3,1757587368312,4
4,1757587368313,4
5,1757587368313,4
6,1757587368313,4
7,1757587368314,4
8,1757587368315,3
9,1757587368316,10010
10,1757587368316,10010
11,1757587368317,10009
12,1757587368317,10009
13,1757587368318,10008
14,1757587368318,10008
15,1757587368318,10008
16,1757587378327,3
17,1757587378327,3
18,1757587378327,3
19,1757587378327,4
20,1757587378327,5
21,1757587378327,5
22,1757587378328,5
23,1757587378330,3
24,1757587378330,5
25,1757587378330,5
26,1757587378331,4
27,1757587378332,3
28,1757587378332,3
29,1757587378333,4
30,1757587378333,4
31,1757587378336,1
32,1757587378336,1
33,1757587378336,1
34,1757587378336,2
35,1757587378336,2
36,1757587378337,1
37,1757587378338,0
38,1757587378338,0
39,1757587378338,0
40,1757587378338,1
41,1757587378339,0
42,1757587378339,1
43,1757587378339,1
44,1757587378339,2
45,1757587378339,2
46,1757587378339,2
47,1757587378339,3
48,1757587378340,2
49,1757587378340,2
50,1757587378340,3
51,1757587378341,2
52,1757587378341,2
53,1757587378342,3
54,1757587378342,3
55,1757587378342,3
56,1757587378343,3
57,1757587378343,3
58,1757587378343,3
59,1757587378344,2
60,1757587378345,5004
61,1757587378345,5004
62,1757587378345,5004
63,1757587378346,5004
64,1757587378346,5006
65,1757587378346,5006
66,1757587378347,5005
67,1757587383350,2
68,1757587383350,3
69,1757587383350,3
70,1757587383350,4
71,1757587383352,2
72,1757587383352,3
73,1757587383352,3
74,1757587383353,2
75,1757587383353,2
76,1757587383354,1
77,1757587383354,2
78,1757587383354,2
79,1757587383355,5004
80,1757587383355,5004
81,1757587383355,5004
82,1757587383355,5004
83,1757587383356,5005
84,1757587383356,5005
85,1757587383356,5005
86,1757587388359,3
87,1757587388359,3
88,1757587388360,2
89,1757587388360,2
90,1757587388361,1
91,1757587388361,1
92,1757587388361,1
93,1757587388362,1
94,1757587388362,1
95,1757587388362,2
96,1757587388363,1
97,1757587388363,1
98,1757587388363,2
99,1757587388363,2
100,1757587388363,3
101,1757587388363,3
102,1757587388364,3
103,1757587388364,3
104,1757587388364,4
105,1757587388365,3
106,1757587388365,3
107,1757587388366,4
108,1757587388366,4
109,1757587388367,3
110,1757587388367,3
111,1757587388369,1
112,1757587388369,1
113,1757587388369,1
114,1757587388370,1
115,1757587388370,1
116,1757587388370,2
117,1757587388370,2
118,1757587388370,2
119,1757587388371,2
120,1757587388371,2
121,1757587388371,3
122,1757587388372,2
123,1757587388372,2
124,1757587388372,3
125,1757587388373,2
126,1757587388373,2
127,1757587388373,3
128,1757587388374,2
129,1757587388374,2
130,1757587388374,2
131,1757587388375,1
132,1757587388375,1
133,1757587388375,1
134,1757587388376,1
135,1757587388376,1
136,1757587388376,1
137,1757587388376,1
138,1757587388377,0
139,1757587388377,5005
140,1757587388377,5005
141,1757587388378,5004
142,1757587388378,5005
143,1757587388378,5005
144,1757587388378,5007
145,1757587388378,5007
146,1757587393382,3
147,1757587393382,3
148,1757587393382,3
149,1757587393383,2
