Probability(%),StopAndWait_avgAck(ms),GoBackN_avgAck(ms),SelectiveRepeat_avgAck(ms)
80,1700.9533333333334,10214.64,1402.52
85,1034.0533333333333,4673.64,1169.66
90,934.0066666666667,3973.08,235.98666666666668
95,500.48,1737.6533333333334,235.84666666666666
100,167.21333333333334,3.1,3.006666666666667
