Frame,FirstSendTime(ms),AckTime(ms)
0,1757587707700,10012
1,1757587707700,10016
2,1757587707700,10017
3,1757587707700,10017
4,1757587707700,20027
5,1757587707701,30035
6,1757587707701,40045
7,1757587717716,30031
8,1757587717717,30030
9,1757587717717,30031
10,1757587717717,30032
11,1757587727728,20021
12,1757587737737,10013
13,1757587747746,5009
14,1757587747747,5009
15,1757587747748,10025
16,1757587747749,10024
17,1757587747749,15034
18,1757587747750,15034
19,1757587747751,15034
20,1757587752755,10030
21,1757587752756,10030
22,1757587757773,5013
23,1757587757774,10026
24,1757587762784,5016
25,1757587762784,10021
26,1757587762785,10021
27,1757587762786,15025
28,1757587762786,15026
29,1757587762787,15025
30,1757587767800,10013
31,1757587767801,10012
32,1757587772806,15029
33,1757587772807,15029
34,1757587777812,15038
35,1757587777813,15038
36,1757587777813,15038
37,1757587777813,15039
38,1757587777814,15039
39,1757587787835,5018
40,1757587787836,5017
41,1757587792851,3
42,1757587792851,5007
43,1757587792852,5007
44,1757587792853,5007
45,1757587792853,5007
46,1757587792853,5008
47,1757587792854,5007
48,1757587792854,5008
49,1757587797859,4
50,1757587797860,4
51,1757587797861,10027
52,1757587797861,10028
53,1757587797861,15033
54,1757587797862,20036
55,1757587797863,20036
56,1757587797863,20037
57,1757587797864,20037
58,1757587807889,15017
59,1757587807889,15018
60,1757587812895,15016
61,1757587817899,10012
62,1757587817900,10012
63,1757587817901,10012
64,1757587817902,10011
65,1757587822907,5007
66,1757587822908,5006
67,1757587827911,3
68,1757587827912,3
69,1757587827913,2
70,1757587827914,1
71,1757587827914,2
72,1757587827914,2
73,1757587827914,2
74,1757587827915,5005
75,1757587827915,10010
76,1757587827915,10011
77,1757587827915,10012
78,1757587827916,10011
79,1757587827916,10012
80,1757587827916,10012
81,1757587832920,5009
82,1757587837926,3
83,1757587837926,3
84,1757587837927,2
85,1757587837928,2
86,1757587837928,2
87,1757587837929,1
88,1757587837929,1
89,1757587837929,2
90,1757587837930,5003
91,1757587837930,5004
92,1757587837930,10009
93,1757587837930,15013
94,1757587837930,15013
95,1757587837931,20017
96,1757587837931,25021
97,1757587842934,30026
98,1757587842935,30026
99,1757587847939,25023
100,1757587852944,20019
101,1757587852944,20019
102,1757587857949,15015
103,1757587862953,10011
104,1757587872961,3
105,1757587872961,4
106,1757587872962,3
107,1757587872963,2
108,1757587872964,2
109,1757587872964,2
110,1757587872964,5007
111,1757587872965,5006
112,1757587872965,5007
113,1757587872966,5007
114,1757587872966,5008
115,1757587872966,5008
116,1757587872966,5008
117,1757587877971,4
118,1757587877972,3
119,1757587877973,3
120,1757587877973,3
121,1757587877974,3
122,1757587877974,3
123,1757587877975,3
124,1757587877975,3
125,1757587877976,2
126,1757587877976,15013
127,1757587877977,25020
128,1757587877977,25021
129,1757587877977,25022
130,1757587877978,30025
131,1757587877978,35030
132,1757587877979,35029
133,1757587892990,25023
134,1757587902998,15016
135,1757587902999,15016
136,1757587903000,20019
137,1757587908004,15016
138,1757587913008,10013
139,1757587913009,10012
140,1757587918014,5008
141,1757587918015,5008
142,1757587918015,5008
143,1757587923020,3
144,1757587923021,2
145,1757587923021,5004
146,1757587923022,5004
147,1757587923022,5004
148,1757587923023,5004
149,1757587923023,5004
