Frame,FirstSendTime(ms),AckTime(ms)
0,1757586699901,2
1,1757586699901,2
2,1757586699902,2
3,1757586699902,3
4,1757586699902,4
5,1757586699902,4
6,1757586699902,5
7,1757586699903,5
8,1757586699904,4
9,1757586699904,5
10,1757586699905,5
11,1757586699906,4
12,1757586699907,3
13,1757586699907,3
14,1757586699908,2
15,1757586699909,1
16,1757586699909,1
17,1757586699910,1
18,1757586699910,2
19,1757586699910,2
20,1757586699910,3
21,1757586699910,3
22,1757586699911,3
23,1757586699911,4
24,1757586699911,4
25,1757586699912,3
26,1757586699912,3
27,1757586699913,3
28,1757586699914,2
29,1757586699914,2
30,1757586699915,2
31,1757586699915,2
32,1757586699916,1
33,1757586699916,2
34,1757586699916,2
35,1757586699916,2
36,1757586699917,2
37,1757586699917,2
38,1757586699917,2
39,1757586699917,3
40,1757586699918,3
41,1757586699918,4
42,1757586699918,4
43,1757586699919,4
44,1757586699919,4
45,1757586699919,4
46,1757586699920,4
47,1757586699921,3
48,1757586699922,2
49,1757586699923,2
50,1757586699923,2
51,1757586699923,3
52,1757586699923,3
53,1757586699924,2
54,1757586699924,3
55,1757586699925,2
56,1757586699925,2
57,1757586699925,3
58,1757586699926,2
59,1757586699926,2
60,1757586699926,2
61,1757586699927,2
62,1757586699927,2
63,1757586699927,2
64,1757586699928,2
65,1757586699928,2
66,1757586699928,2
67,1757586699929,1
68,1757586699929,1
69,1757586699929,1
70,1757586699929,1
71,1757586699930,1
72,1757586699930,1
73,1757586699930,2
74,1757586699930,2
75,1757586699930,2
76,1757586699931,2
77,1757586699931,2
78,1757586699931,2
79,1757586699931,3
80,1757586699932,2
81,1757586699932,2
82,1757586699932,3
83,1757586699933,2
84,1757586699933,3
85,1757586699933,4
86,1757586699934,3
87,1757586699934,4
88,1757586699935,3
89,1757586699935,4
90,1757586699935,4
91,1757586699936,4
92,1757586699937,3
93,1757586699938,2
94,1757586699938,3
95,1757586699939,2
96,1757586699939,2
97,1757586699940,1
98,1757586699940,1
99,1757586699940,1
100,1757586699941,0
101,1757586699941,1
102,1757586699942,1
103,1757586699942,1
104,1757586699942,1
105,1757586699942,2
106,1757586699942,2
107,1757586699942,3
108,1757586699942,3
109,1757586699943,3
110,1757586699943,3
111,1757586699944,2
112,1757586699944,2
113,1757586699945,2
114,1757586699945,2
115,1757586699945,2
116,1757586699946,1
117,1757586699946,1
118,1757586699946,1
119,1757586699947,0
120,1757586699947,1
121,1757586699947,1
122,1757586699947,2
123,1757586699947,2
124,1757586699947,2
125,1757586699948,2
126,1757586699948,2
127,1757586699948,3
128,1757586699948,3
129,1757586699949,3
130,1757586699949,4
131,1757586699949,4
132,1757586699950,3
133,1757586699950,4
134,1757586699951,3
135,1757586699951,3
136,1757586699952,3
137,1757586699953,5004
138,1757586699953,5005
139,1757586699953,5005
140,1757586699954,5004
141,1757586699954,5004
142,1757586699954,5004
143,1757586699955,5003
144,1757586704958,3
145,1757586704958,3
146,1757586704959,2
147,1757586704959,2
148,1757586704959,2
149,1757586704959,2
