Frame,FirstSendTime(ms),AckTime(ms)
0,1757587095962,1
1,1757587095964,1
2,1757587095965,1
3,1757587095966,0
4,1757587095967,0
5,1757587095968,0
6,1757587095968,1
7,1757587095969,0
8,1757587095970,10003
9,1757587105974,0
10,1757587105975,0
11,1757587105976,1
12,1757587105977,1
13,1757587105978,0
14,1757587105979,0
15,1757587105980,0
16,1757587105981,0
17,1757587105981,5003
18,1757587110985,0
19,1757587110985,5003
20,1757587115988,1
21,1757587115989,1
22,1757587115990,1
23,1757587115991,0
24,1757587115992,1
25,1757587115993,1
26,1757587115994,1
27,1757587115995,1
28,1757587115996,5002
29,1757587120999,0
30,1757587121000,0
31,1757587121001,0
32,1757587121001,1
33,1757587121002,5003
34,1757587126006,10005
35,1757587136012,5003
36,1757587141016,0
37,1757587141016,5002
38,1757587146018,1
39,1757587146019,1
40,1757587146020,1
41,1757587146021,1
42,1757587146022,0
43,1757587146023,1
44,1757587146024,0
45,1757587146025,5002
46,1757587151028,1
47,1757587151029,0
48,1757587151030,0
49,1757587151031,0
50,1757587151033,0
51,1757587151034,0
52,1757587151035,1
53,1757587151036,0
54,1757587151037,0
55,1757587151037,1
56,1757587151039,0
57,1757587151039,0
58,1757587151040,0
59,1757587151040,1
60,1757587151041,0
61,1757587151042,5001
62,1757587156044,0
63,1757587156044,1
64,1757587156045,1
65,1757587156046,1
66,1757587156047,10003
67,1757587166050,1
68,1757587166051,1
69,1757587166052,0
70,1757587166053,0
71,1757587166054,0
72,1757587166055,0
73,1757587166055,0
74,1757587166056,5002
75,1757587171058,1
76,1757587171059,5001
77,1757587176061,0
78,1757587176061,1
79,1757587176062,1
80,1757587176063,0
81,1757587176064,0
82,1757587176064,10004
83,1757587186068,1
84,1757587186070,0
85,1757587186070,5002
86,1757587191072,5002
87,1757587196074,1
88,1757587196075,1
89,1757587196076,1
90,1757587196077,0
91,1757587196077,5002
92,1757587201080,0
93,1757587201081,0
94,1757587201082,5002
95,1757587206084,10003
96,1757587216087,10003
97,1757587226090,1
98,1757587226091,5002
99,1757587231093,1
100,1757587231094,0
101,1757587231095,0
102,1757587231095,1
103,1757587231096,0
104,1757587231097,0
105,1757587231097,0
106,1757587231098,0
107,1757587231099,0
108,1757587231099,1
109,1757587231100,0
110,1757587231101,0
111,1757587231101,0
112,1757587231102,0
113,1757587231102,1
114,1757587231103,0
115,1757587231104,0
116,1757587231104,1
117,1757587231105,0
118,1757587231106,0
119,1757587231106,0
120,1757587231107,0
121,1757587231107,0
122,1757587231108,0
123,1757587231108,0
124,1757587231109,0
125,1757587231110,0
126,1757587231110,1
127,1757587231111,1
128,1757587231112,0
129,1757587231112,5004
130,1757587236116,1
131,1757587236117,0
132,1757587236118,0
133,1757587236119,0
134,1757587236119,1
135,1757587236120,0
136,1757587236120,0
137,1757587236121,0
138,1757587236121,0
139,1757587236122,0
140,1757587236122,1
141,1757587236123,5001
142,1757587241124,5002
143,1757587246127,0
144,1757587246128,0
145,1757587246129,0
146,1757587246130,0
147,1757587246131,0
148,1757587246131,5001
149,1757587251132,1
