Frame,FirstSendTime(ms),AckTime(ms)
0,1757586974911,2
1,1757586974911,3
2,1757586974911,4
3,1757586974911,4
4,1757586974912,3
5,1757586974912,4
6,1757586974912,4
7,1757586974913,3
8,1757586974914,3
9,1757586974915,2
10,1757586974916,1
11,1757586974916,1
12,1757586974916,2
13,1757586974916,2
14,1757586974917,2
15,1757586974917,2
16,1757586974917,3
17,1757586974918,2
18,1757586974918,3
19,1757586974918,3
20,1757586974918,4
21,1757586974919,4
22,1757586974919,4
23,1757586974920,3
24,1757586974920,3
25,1757586974921,2
26,1757586974921,2
27,1757586974922,1
28,1757586974923,1
29,1757586974923,2
30,1757586974923,2
31,1757586974923,4
32,1757586974923,4
33,1757586974924,4
34,1757586974924,4
35,1757586974924,5
36,1757586974925,5
37,1757586974926,4
38,1757586974927,4
39,1757586974928,3
40,1757586974928,3
41,1757586974928,4
42,1757586974929,3
43,1757586974930,3
44,1757586974930,4
45,1757586974931,3
46,1757586974932,3
47,1757586974932,4
48,1757586974932,4
49,1757586974933,3
50,1757586974933,4
51,1757586974934,3
52,1757586974935,2
53,1757586974935,3
54,1757586974936,2
55,1757586974936,3
56,1757586974937,2
57,1757586974937,3
58,1757586974937,3
59,1757586974938,2
60,1757586974938,3
61,1757586974939,2
62,1757586974939,2
63,1757586974939,3
64,1757586974940,2
65,1757586974940,2
66,1757586974940,2
67,1757586974941,1
68,1757586974941,1
69,1757586974941,1
70,1757586974942,1
71,1757586974943,1
72,1757586974943,1
73,1757586974943,2
74,1757586974943,2
75,1757586974943,3
76,1757586974943,3
77,1757586974944,3
78,1757586974944,3
79,1757586974945,2
80,1757586974945,3
81,1757586974946,2
82,1757586974946,2
83,1757586974946,3
84,1757586974947,2
85,1757586974947,2
86,1757586974947,3
87,1757586974948,2
88,1757586974948,2
89,1757586974949,2
90,1757586974949,2
91,1757586974949,2
92,1757586974949,3
93,1757586974950,2
94,1757586974950,2
95,1757586974950,2
96,1757586974951,1
97,1757586974951,1
98,1757586974952,1
99,1757586974952,1
100,1757586974952,1
101,1757586974952,2
102,1757586974952,2
103,1757586974952,2
104,1757586974952,2
105,1757586974953,1
106,1757586974954,1
107,1757586974954,2
108,1757586974954,2
109,1757586974954,3
110,1757586974955,2
111,1757586974955,2
112,1757586974955,2
113,1757586974955,2
114,1757586974956,1
115,1757586974956,1
116,1757586974957,1
117,1757586974957,2
118,1757586974957,3
119,1757586974957,3
120,1757586974957,4
121,1757586974957,4
122,1757586974957,5
123,1757586974958,4
124,1757586974959,3
125,1757586974960,3
126,1757586974960,3
127,1757586974961,3
128,1757586974961,3
129,1757586974962,3
130,1757586974962,3
131,1757586974963,2
132,1757586974963,3
133,1757586974963,3
134,1757586974964,2
135,1757586974964,3
136,1757586974965,2
137,1757586974965,5004
138,1757586974965,5005
139,1757586974966,5005
140,1757586974966,5005
141,1757586974966,5005
142,1757586974967,5004
143,1757586974967,5004
144,1757586979970,3
145,1757586979970,3
146,1757586979971,3
147,1757586979972,2
148,1757586979972,3
149,1757586979972,3
