Frame,FirstSendTime(ms),AckTime(ms)
0,1757587440446,5005
1,1757587445452,0
2,1757587445453,5003
3,1757587450457,0
4,1757587450458,0
5,1757587450459,0
6,1757587450459,5003
7,1757587455462,1
8,1757587455463,1
9,1757587455464,1
10,1757587455465,0
11,1757587455466,0
12,1757587455466,5002
13,1757587460469,0
14,1757587460470,5001
15,1757587465471,1
16,1757587465472,10003
17,1757587475475,1
18,1757587475476,1
19,1757587475477,1
20,1757587475478,0
21,1757587475479,0
22,1757587475480,0
23,1757587475480,1
24,1757587475481,0
25,1757587475481,5003
26,1757587480485,1
27,1757587480486,1
28,1757587480487,0
29,1757587480488,0
30,1757587480489,0
31,1757587480489,5002
32,1757587485492,0
33,1757587485492,1
34,1757587485494,10003
35,1757587495497,0
36,1757587495498,0
37,1757587495499,0
38,1757587495500,0
39,1757587495500,1
40,1757587495501,1
41,1757587495502,10001
42,1757587505505,0
43,1757587505506,0
44,1757587505507,5001
45,1757587510508,1
46,1757587510509,5003
47,1757587515512,1
48,1757587515513,1
49,1757587515514,1
50,1757587515515,1
51,1757587515516,15004
52,1757587530521,1
53,1757587530522,1
54,1757587530523,20008
55,1757587550531,5002
56,1757587555534,5003
57,1757587560537,0
58,1757587560539,0
59,1757587560540,0
60,1757587560541,0
61,1757587560541,1
62,1757587560542,0
63,1757587560543,0
64,1757587560543,1
65,1757587560544,0
66,1757587560544,0
67,1757587560545,5001
68,1757587565546,1
69,1757587565547,0
70,1757587565548,0
71,1757587565549,0
72,1757587565550,0
73,1757587565550,0
74,1757587565551,0
75,1757587565551,0
76,1757587565552,5001
77,1757587570554,0
78,1757587570555,5002
79,1757587575557,1
80,1757587575558,1
81,1757587575559,1
82,1757587575560,5001
83,1757587580561,10002
84,1757587590564,0
85,1757587590565,10004
86,1757587600569,15006
87,1757587615575,0
88,1757587615576,1
89,1757587615577,1
90,1757587615578,1
91,1757587615579,1
92,1757587615580,1
93,1757587615581,10004
94,1757587625586,0
95,1757587625586,1
96,1757587625587,1
97,1757587625588,0
98,1757587625589,5002
99,1757587630591,0
100,1757587630592,0
101,1757587630593,0
102,1757587630593,5002
103,1757587635595,1
104,1757587635596,0
105,1757587635597,10003
106,1757587645600,1
107,1757587645601,5003
108,1757587650604,1
109,1757587650605,0
110,1757587650606,0
111,1757587650607,0
112,1757587650607,5002
113,1757587655610,10002
114,1757587665613,0
115,1757587665614,0
116,1757587665614,1
117,1757587665615,1
118,1757587665616,0
119,1757587665617,0
120,1757587665618,0
121,1757587665618,1
122,1757587665619,5002
123,1757587670621,1
124,1757587670622,5002
125,1757587675625,0
126,1757587675626,0
127,1757587675626,1
128,1757587675627,1
129,1757587675628,0
130,1757587675628,5003
131,1757587680631,1
132,1757587680632,1
133,1757587680633,0
134,1757587680634,0
135,1757587680634,1
136,1757587680635,0
137,1757587680635,1
138,1757587680636,0
139,1757587680636,5002
140,1757587685638,1
141,1757587685639,0
142,1757587685640,0
143,1757587685641,0
144,1757587685641,5002
145,1757587690643,1
146,1757587690644,0
147,1757587690645,5002
148,1757587695647,0
149,1757587695648,0
