Frame,FirstSendTime(ms),AckTime(ms)
0,1757587932371,5005
1,1757587932372,5004
2,1757587932372,5004
3,1757587932372,5006
4,1757587932372,5006
5,1757587932372,5006
6,1757587932372,5006
7,1757587937377,3
8,1757587937377,3
9,1757587937377,3
10,1757587937379,1
11,1757587937379,5005
12,1757587937379,5005
13,1757587937379,5005
14,1757587937380,5004
15,1757587937380,5004
16,1757587937380,5004
17,1757587937380,5006
18,1757587942384,2
19,1757587942384,3
20,1757587942385,2
21,1757587942385,2
22,1757587942385,2
23,1757587942385,2
24,1757587942386,1
25,1757587942386,2
26,1757587942387,1
27,1757587942387,1
28,1757587942387,5004
29,1757587942387,5004
30,1757587942387,5004
31,1757587942387,5004
32,1757587942388,5003
33,1757587942388,5003
34,1757587942388,5003
35,1757587947393,2
36,1757587947393,2
37,1757587947393,3
38,1757587947393,3
39,1757587947393,3
40,1757587947393,4
41,1757587947394,3
42,1757587947395,2
43,1757587947396,2
44,1757587947396,2
45,1757587947396,2
46,1757587947397,2
47,1757587947397,2
48,1757587947397,2
49,1757587947397,5004
50,1757587947398,5003
51,1757587947398,5004
52,1757587947398,5004
53,1757587947399,5003
54,1757587947399,5003
55,1757587947399,5003
56,1757587952402,3
57,1757587952402,3
58,1757587952403,4
59,1757587952403,4
60,1757587952403,4
61,1757587952403,4
62,1757587952403,4
63,1757587952405,2
64,1757587952405,2
65,1757587952407,1
66,1757587952407,1
67,1757587952407,1
68,1757587952407,2
69,1757587952407,2
70,1757587952407,2
71,1757587952407,3
72,1757587952408,5004
73,1757587952408,5005
74,1757587952409,5004
75,1757587952409,5004
76,1757587952409,5004
77,1757587952409,5004
78,1757587952410,5003
79,1757587957414,2
80,1757587957414,2
81,1757587957414,2
82,1757587957414,3
83,1757587957414,3
84,1757587957414,3
85,1757587957415,2
86,1757587957416,1
87,1757587957416,2
88,1757587957416,2
89,1757587957417,1
90,1757587957417,1
91,1757587957418,0
92,1757587957418,1
93,1757587957418,1
94,1757587957418,1
95,1757587957418,1
96,1757587957418,2
97,1757587957418,2
98,1757587957419,1
99,1757587957420,0
100,1757587957420,1
101,1757587957420,1
102,1757587957420,5003
103,1757587957420,5003
104,1757587957420,5003
105,1757587957420,5004
106,1757587957421,5003
107,1757587957421,5003
108,1757587957421,5003
109,1757587962424,3
110,1757587962424,3
111,1757587962425,3
112,1757587962425,4
113,1757587962425,4
114,1757587962425,4
115,1757587962425,5
116,1757587962427,3
117,1757587962428,2
118,1757587962428,2
119,1757587962429,1
120,1757587962429,1
121,1757587962429,1
122,1757587962430,1
123,1757587962430,2
124,1757587962430,2
125,1757587962431,1
126,1757587962431,2
127,1757587962431,2
128,1757587962431,2
129,1757587962431,2
130,1757587962432,1
131,1757587962432,1
132,1757587962432,2
133,1757587962433,1
134,1757587962433,1
135,1757587962433,1
136,1757587962433,1
137,1757587962434,0
138,1757587962434,0
139,1757587962435,0
140,1757587962435,0
141,1757587962435,1
142,1757587962435,1
143,1757587962435,1
144,1757587962435,2
145,1757587962435,2
146,1757587962435,2
147,1757587962436,1
148,1757587962436,1
149,1757587962436,1
