Frame,FirstSendTime(ms),AckTime(ms)
0,1757586642327,2
1,1757586642327,6
2,1757586642327,7
3,1757586642328,6
4,1757586642328,7
5,1757586642328,7
6,1757586642328,8
7,1757586642333,3
8,1757586642334,3
9,1757586642334,3
10,1757586642335,3
11,1757586642335,3
12,1757586642336,3
13,1757586642336,3
14,1757586642337,2
15,1757586642337,3
16,1757586642338,2
17,1757586642338,2
18,1757586642339,2
19,1757586642339,3
20,1757586642339,3
21,1757586642340,10014
22,1757586642340,10015
23,1757586642340,10016
24,1757586642341,10016
25,1757586642341,10017
26,1757586642342,10016
27,1757586642343,10016
28,1757586652355,4
29,1757586652356,4
30,1757586652357,4
31,1757586652357,4
32,1757586652358,4
33,1757586652359,5007
34,1757586652359,5008
35,1757586652360,5008
36,1757586652360,5009
37,1757586652361,5008
38,1757586652362,5007
39,1757586652362,5008
40,1757586657367,3
41,1757586657368,3
42,1757586657368,3
43,1757586657369,2
44,1757586657369,3
45,1757586657370,2
46,1757586657370,3
47,1757586657371,2
48,1757586657371,2
49,1757586657371,3
50,1757586657372,3
51,1757586657372,3
52,1757586657373,3
53,1757586657373,3
54,1757586657373,4
55,1757586657374,3
56,1757586657375,2
57,1757586657375,3
58,1757586657376,2
59,1757586657376,3
60,1757586657377,2
61,1757586657377,2
62,1757586657377,3
63,1757586657377,3
64,1757586657378,2
65,1757586657378,3
66,1757586657379,2
67,1757586657379,2
68,1757586657380,2
69,1757586657380,2
70,1757586657380,2
71,1757586657381,1
72,1757586657381,2
73,1757586657381,2
74,1757586657381,5006
75,1757586657382,5005
76,1757586657382,5006
77,1757586657383,5005
78,1757586657383,5006
79,1757586657383,5006
80,1757586657383,5007
81,1757586662388,2
82,1757586662388,3
83,1757586662389,2
84,1757586662389,2
85,1757586662390,2
86,1757586662390,2
87,1757586662390,2
88,1757586662391,2
89,1757586662391,2
90,1757586662391,3
91,1757586662392,2
92,1757586662392,3
93,1757586662392,5007
94,1757586662393,5007
95,1757586662393,5008
96,1757586662393,5008
97,1757586662394,5008
98,1757586662395,5007
99,1757586662395,5007
100,1757586667400,3
101,1757586667401,2
102,1757586667401,2
103,1757586667401,3
104,1757586667402,2
105,1757586667402,2
106,1757586667403,2
107,1757586667403,2
108,1757586667403,2
109,1757586667404,2
110,1757586667404,2
111,1757586667404,2
112,1757586667405,2
113,1757586667405,3
114,1757586667405,3
115,1757586667406,2
116,1757586667406,3
117,1757586667406,3
118,1757586667407,2
119,1757586667408,2
120,1757586667408,2
121,1757586667409,2
122,1757586667409,2
123,1757586667409,2
124,1757586667410,2
125,1757586667410,2
126,1757586667410,2
127,1757586667411,1
128,1757586667411,2
129,1757586667411,2
130,1757586667412,5004
131,1757586667412,10008
132,1757586667412,10009
133,1757586667412,10010
134,1757586667412,10011
135,1757586667413,10010
136,1757586667413,10010
137,1757586672417,5007
138,1757586677421,4
139,1757586677422,3
140,1757586677422,4
141,1757586677423,3
142,1757586677423,4
143,1757586677424,3
144,1757586677425,3
145,1757586677425,3
146,1757586677426,2
147,1757586677426,5005
148,1757586677427,5004
149,1757586677427,5005
