frame,errorType,checksum,crc8,crc10,crc16,crc32
226,1,1,1,1,1,1
227,2,0,1,1,1,1
228,3,1,1,1,1,1
229,4,0,1,0,0,1
230,0,0,0,0,0,0
231,1,1,1,1,1,1
232,2,0,1,1,1,1
233,3,1,1,1,1,1
234,4,0,0,0,1,1
235,0,0,0,0,0,0
236,1,1,1,1,1,1
237,2,0,1,1,1,1
238,3,1,1,1,1,1
239,4,0,0,0,0,1
240,0,0,0,0,0,0
241,1,1,1,1,1,1
242,2,1,1,1,1,1
243,3,1,1,1,1,1
244,4,0,0,0,1,1
245,0,0,0,0,0,0
246,1,1,1,1,1,1
247,2,0,1,1,1,1
248,3,1,1,1,1,1
249,4,0,0,0,0,1
250,0,0,0,0,0,0
251,1,1,1,1,1,1
252,2,1,1,1,1,1
253,3,1,1,1,1,1
254,4,0,1,0,0,1
255,0,0,0,0,0,0
256,1,1,1,1,1,1
257,2,0,1,1,1,1
258,3,1,1,1,1,1
259,4,0,0,1,0,1
260,0,0,0,0,0,0
261,1,1,1,1,1,1
262,2,1,1,1,1,1
263,3,1,1,1,1,1
264,4,0,0,1,0,1
265,0,0,0,0,0,0
266,1,1,1,1,1,1
267,2,0,1,1,1,1
268,3,1,1,1,1,1
269,4,0,0,0,0,1
270,0,0,0,0,0,0
271,1,1,1,1,1,1
272,2,0,1,1,1,1
273,3,1,1,1,1,1
274,4,0,0,0,0,1
275,0,0,0,0,0,0
276,1,1,1,1,1,1
277,2,0,1,1,1,1
278,3,1,1,1,1,1
279,4,0,0,0,0,1
280,0,0,0,0,0,0
281,1,1,1,1,1,1
282,2,0,1,1,1,1
283,3,1,1,1,1,1
284,4,0,1,0,0,1
285,0,0,0,0,0,0
286,1,1,1,1,1,1
287,2,0,1,1,1,1
288,3,1,1,1,1,1
289,4,0,0,1,0,1
290,0,0,0,0,0,0
291,1,1,1,1,1,1
292,2,0,1,1,1,1
293,3,1,1,1,1,1
294,4,0,0,1,0,1
295,0,0,0,0,0,0
296,1,1,1,1,1,1
297,2,1,1,1,1,1
298,3,1,1,1,1,1
299,4,0,0,0,0,1
300,0,0,0,0,0,0
301,1,1,1,1,1,1
302,2,0,1,1,1,1
303,3,1,1,1,1,1
304,4,0,0,0,0,1
305,0,0,0,0,0,0
306,1,1,1,1,1,1
307,2,0,1,1,1,1
308,3,1,1,1,1,1
309,4,0,0,1,1,1
310,0,0,0,0,0,0
311,1,1,1,1,1,1
312,2,0,1,1,1,1
313,3,1,1,1,1,1
314,4,0,1,0,0,1
315,0,0,0,0,0,0
316,1,1,1,1,1,1
317,2,0,1,1,1,1
318,3,1,1,1,1,1
319,4,0,1,0,1,1
320,0,0,0,0,0,0
321,1,1,1,1,1,1
322,2,0,1,1,1,1
323,3,1,1,1,1,1
324,4,0,0,0,0,1
325,0,0,0,0,0,0
326,1,1,1,1,1,1
327,2,0,1,1,1,1
328,3,1,1,1,1,1
329,4,0,0,0,0,1
330,0,0,0,0,0,0
331,1,1,1,1,1,1
332,2,0,1,1,1,1
333,3,1,1,1,1,1
334,4,0,0,1,0,1
335,0,0,0,0,0,0
336,1,1,1,1,1,1
337,2,0,1,1,1,1
338,3,1,1,1,1,1
339,4,0,0,0,0,1
340,0,0,0,0,0,0
341,1,1,1,1,1,1
342,2,0,1,1,1,1
343,3,1,1,1,1,1
344,4,0,1,0,0,1
345,0,0,0,0,0,0
346,1,1,1,1,1,1
347,2,0,1,1,1,1
348,3,1,1,1,1,1
349,4,0,0,1,0,1
350,0,0,0,0,0,0
351,1,1,1,1,1,1
352,2,0,1,1,1,1
353,3,1,1,1,1,1
354,4,0,0,0,1,1
355,0,0,0,0,0,0
356,1,1,1,1,1,1
357,2,1,1,1,1,1
358,3,1,1,1,1,1
359,4,0,0,0,0,1
360,0,0,0,0,0,0
361,1,1,1,1,1,1
362,2,1,1,1,1,1
363,3,1,1,1,1,1
364,4,0,0,0,0,1
365,0,0,0,0,0,0
366,1,1,1,1,1,1
367,2,0,1,1,1,1
368,3,1,1,1,1,1
369,4,0,1,0,0,1
370,0,0,0,0,0,0
371,1,1,1,1,1,1
372,2,1,1,1,1,1
373,3,1,1,1,1,1
374,4,0,1,0,0,1
375,0,0,0,0,0,0
376,1,1,1,1,1,1
377,2,0,1,1,1,1
378,3,1,1,1,1,1
379,4,0,0,0,0,1
380,0,0,0,0,0,0
381,1,1,1,1,1,1
382,2,0,1,1,1,1
383,3,1,1,1,1,1
384,4,0,0,1,1,1
385,0,0,0,0,0,0
386,1,1,1,1,1,1
387,2,0,1,1,1,1
388,3,1,1,1,1,1
389,4,0,0,0,0,1
390,0,0,0,0,0,0
391,1,1,1,1,1,1
392,2,0,1,1,1,1
393,3,1,1,1,1,1
394,4,0,1,1,0,1
395,0,0,0,0,0,0
396,1,1,1,1,1,1
397,2,0,1,1,1,1
398,3,1,1,1,1,1
399,4,0,0,0,0,1
400,0,0,0,0,0,0
401,1,1,1,1,1,1
402,2,0,1,1,1,1
403,3,1,1,1,1,1
404,4,0,0,0,0,1
405,0,0,0,0,0,0
406,1,1,1,1,1,1
407,2,0,1,1,1,1
408,3,1,1,1,1,1
409,4,0,0,0,0,1
410,0,0,0,0,0,0
411,1,1,1,1,1,1
412,2,0,1,1,1,1
