stationId,numBits,original,decoded,latency_ms,throughput_bps,correctness
10,8,11010011,11010011,3,2666.67,1.000
7,8,01010101,01010101,4,2000.00,1.000
8,8,11111111,11111111,3,2666.67,1.000
1,8,01011010,01011010,1,7999.99,1.000
6,8,10101010,10101010,3,2666.67,1.000
2,8,11010011,11010011,3,2666.67,1.000
3,8,00110101,00110101,3,2666.67,1.000
9,8,01011010,01011010,3,2666.67,1.000
5,8,00011100,00011100,3,2666.67,1.000
4,8,11100011,11100011,3,2666.67,1.000
